id,priority,category,type,citation,why_use,suggested_section,url
1,핵심,공공행정 AI·챗봇,논문,"Chen, T., Gascó-Hernandez, M., & Esteve, M. (2024). The Adoption and Implementation of Artificial Intelligence Chatbots in Public Organizations: Evidence from U.S. State Governments. American Review of Public Administration, 54(3), 255–270.",공공조직에서 챗봇 채택·구현 요인을 실증적으로 다룬 대표 논문. 도입조건·조직요인 서술에 적합.,선행연구 / 공공부문 AI 도입요인,https://journals.sagepub.com/doi/10.1177/02750740231200522
2,핵심,공공행정 AI·챗봇,논문,"Larsen, A. G., & Følstad, A. (2024). The impact of chatbots on public service provision: A qualitative interview study with citizens and public service providers. Government Information Quarterly, 41(2), 101927.",챗봇이 공공서비스 제공과 시민·공무원 경험에 미치는 영향을 정성적으로 분석. 효과와 한계의 균형 제시에 유용.,선행연구 / 공공서비스 효과,https://www.sciencedirect.com/science/article/pii/S0740624X24000194
3,핵심,공공행정 AI·챗봇,논문,"Cortés-Cediel, M. E., Segura-Tinoco, A., Cantador, I., & Rodríguez Bolívar, M. P. (2023). Trends and challenges of e-government chatbots: Advances in exploring open government data and citizen participation content. Government Information Quarterly, 40, 101877.","전자정부 챗봇의 추세·한계를 체계적으로 정리. 정보검색 중심 편중, 공공가치 평가 부재 문제를 논문 문제제기와 직접 연결 가능.",문제제기 / 선행연구 비판,https://repositorio.uam.es/bitstreams/63442cc6-50e2-4a77-8040-44a2ddd8f406/download
4,핵심,공공행정 AI·챗봇,논문,"Cho, S., Hur, J.-Y., & Kim, D. (2025). Bridging trust in AI and its adoption: The role of organizational support in AI chatbot implementation in Korean government agencies. Government Information Quarterly, 42(4), 102081.",한국 정부기관 맥락에서 신뢰와 조직지원이 AI 챗봇 도입에 미치는 영향을 다룸. 한국 맥락 인용에 매우 적합.,선행연구 / 한국 공공부문 수용성,https://www.sciencedirect.com/science/article/abs/pii/S0740624X25000759
5,중요,공공행정 AI·챗봇,논문,"Senadheera, S., Yigitcanlar, T., Desouza, K. C., Mossberger, K., Corchado, J., Mehmood, R., Li, R. Y. M., & Cheong, P. H. (2025). Understanding Chatbot Adoption in Local Governments: A Review and Framework. Journal of Urban Technology, 32(3), 35–69.",지방정부 챗봇 도입을 리뷰와 프레임워크로 정리. 한국 군 행정에 맞게 제도·조직·서비스 관점 변환 가능.,선행연구 / 도입 프레임워크,https://www.tandfonline.com/doi/full/10.1080/10630732.2023.2297665
6,중요,공공행정 AI·챗봇,논문,"Chen, T., & Gascó-Hernandez, M. (2025). Uncovering the Results of AI Chatbot Use in the Public Sector: Evidence from U.S. State Governments. Public Performance & Management Review, 48(6), 1331–1356.",공공부문 챗봇의 실제 성과와 운영결과를 실증적으로 제시. 성과지표 설계 참고에 적합.,성과평가 설계 / 기대효과,https://www.tandfonline.com/doi/full/10.1080/15309576.2024.2389864
7,핵심,공공행정 AI·챗봇,논문,"Kim, E. (2026). Generative AI in public administration: A quasi-experimental analysis of bureaucratic productivity. Government Information Quarterly, 43(1), 102108.",생성형 AI가 공무원의 초안작성 시간을 단축한다는 준실험 연구. 업무경감·생산성 논거에 직접 활용 가능.,정책효과 / 행정효율성 논거,https://www.sciencedirect.com/science/article/abs/pii/S0740624X26000055
8,핵심,공공행정 AI·챗봇,논문,"Selten, F., & Klievink, B. (2024). Organizing public sector AI adoption: Navigating between separation and integration. Government Information Quarterly, 41(1), 101885.","공공부문 AI 도입에서 중앙화/분산화, 분리/통합의 조직설계 이슈를 분석. 군 조직 적용 논의에 유용.",시스템 거버넌스 / 조직설계,https://www.sciencedirect.com/science/article/pii/S0740624X23000850
9,중요,공공행정 AI·챗봇,논문,"van Noordt, C., & Misuraca, G. (2022). Artificial intelligence for the public sector: results of landscaping the use of AI in government across the European Union. Government Information Quarterly, 39(3), 101714.",공공부문 AI 활용 지형을 넓게 보여주는 기초 문헌. 사례지형과 위험/이익 균형 서술에 유용.,배경 / 공공부문 AI 일반 동향,https://www.sciencedirect.com/science/article/pii/S0740624X22000478
10,중요,공공행정 AI·챗봇,논문,"Kinder, T., Stenvall, J., Koskimies, E., Webb, H., & Janenova, S. (2023). Local public services and the ethical deployment of artificial intelligence. Government Information Quarterly, 40(4), 101865.",공공서비스에서 AI 윤리 배치를 다뤄 신뢰·설명가능성·책임성 논의 보강에 좋음.,한계와 통제 / 윤리·책임성,https://www.sciencedirect.com/science/article/pii/S0740624X23000655
11,중요,공공행정 AI·챗봇,논문,"Criado, J. I., Sandoval-Almazán, R., & Gil-Garcia, J. R. (2025). Artificial intelligence and public administration: Understanding actors, governance, and policy from micro, meso, and macro perspectives. Public Policy and Administration, 40(2).",AI와 공공행정 관계를 미시·중범위·거시 시각으로 정리. 이론틀 구성에 적합.,이론적 틀 / 공공행정과 AI,https://journals.sagepub.com/doi/10.1177/09520767241272921
